时间,设备名称,片上时间(),加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),电量(),信号(),版本号()
 11:30:26.416,WT5500002564_UDP, 2024-7-22 10:51:26.628, 0.004, 0.014, 0.988, 0.000, 0.000, 0.000, 0.807, -0.225, -30.322, -14.551, 24.316, -24.121, 37.6, 3.66, -71, 13011,
 11:30:26.504,WT5500002557_UDP, 2024-7-22 10:55:23.397, 0.008, 0.021, 0.995, 0.000, 0.000, 0.000, 1.230, -0.472, -115.593, -32.031, -16.113, -44.531, 35.9, 3.71, -77, 13011,
 11:30:26.515,WT5500002564_UDP, 2024-7-22 10:51:26.728, 0.003, 0.014, 0.989, 0.000, 0.000, 0.000, 0.807, -0.225, -30.328, -14.551, 24.414, -24.121, 37.6, 3.66, -71, 13011,
 11:30:26.599,WT5500002557_UDP, 2024-7-22 10:55:23.497, 0.008, 0.021, 0.995, 0.000, 0.000, 0.000, 1.230, -0.472, -115.582, -32.031, -16.016, -44.727, 35.9, 3.71, -77, 13011,
 11:30:26.617,WT5500002564_UDP, 2024-7-22 10:51:26.828, 0.003, 0.014, 0.989, 0.000, 0.000, 0.000, 0.802, -0.225, -30.322, -14.453, 24.316, -24.121, 37.6, 3.66, -71, 13011,
 11:30:26.699,WT5500002557_UDP, 2024-7-22 10:55:23.597, 0.008, 0.021, 0.996, 0.000, 0.000, 0.000, 1.230, -0.472, -115.582, -32.129, -16.211, -44.727, 35.9, 3.71, -77, 13011,
 11:30:26.715,WT5500002564_UDP, 2024-7-22 10:51:26.928, 0.003, 0.014, 0.988, 0.000, 0.000, 0.000, 0.802, -0.225, -30.322, -14.551, 24.414, -24.219, 37.6, 3.66, -71, 13011,
 11:30:26.804,WT5500002557_UDP, 2024-7-22 10:55:23.697, 0.009, 0.021, 0.996, 0.000, 0.000, 0.000, 1.230, -0.472, -115.582, -32.129, -16.113, -44.531, 35.9, 3.71, -77, 13011,
 11:30:26.816,WT5500002564_UDP, 2024-7-22 10:51:27.28, 0.004, 0.014, 0.989, 0.000, 0.000, 0.000, 0.807, -0.225, -30.322, -14.551, 24.219, -24.121, 37.6, 3.66, -71, 13011,
 11:30:26.899,WT5500002557_UDP, 2024-7-22 10:55:23.797, 0.008, 0.022, 0.998, 0.000, 0.000, 0.000, 1.230, -0.467, -115.560, -32.129, -15.918, -44.824, 35.9, 3.71, -77, 13011,
 11:30:26.916,WT5500002564_UDP, 2024-7-22 10:51:27.128, 0.004, 0.014, 0.989, 0.000, 0.000, 0.000, 0.807, -0.225, -30.328, -14.551, 24.316, -24.023, 37.6, 3.66, -71, 13011,
 11:30:26.999,WT5500002557_UDP, 2024-7-22 10:55:23.897, 0.008, 0.022, 0.996, 0.000, 0.000, 0.000, 1.230, -0.472, -115.549, -32.031, -15.918, -44.727, 35.9, 3.71, -77, 13011,
 11:30:27.015,WT5500002564_UDP, 2024-7-22 10:51:27.228, 0.004, 0.014, 0.989, 0.000, 0.000, 0.000, 0.807, -0.225, -30.328, -14.551, 24.316, -24.121, 37.6, 3.66, -71, 13011,
 11:30:27.099,WT5500002557_UDP, 2024-7-22 10:55:23.997, 0.008, 0.022, 0.998, 0.000, 0.000, 0.000, 1.230, -0.472, -115.543, -32.031, -16.016, -44.727, 35.9, 3.71, -75, 13011,
 11:30:27.115,WT5500002564_UDP, 2024-7-22 10:51:27.328, 0.003, 0.014, 0.989, 0.000, 0.000, 0.000, 0.807, -0.225, -30.328, -14.551, 24.512, -24.023, 37.6, 3.66, -71, 13011,
 11:30:27.203,WT5500002557_UDP, 2024-7-22 10:55:24.97, 0.008, 0.021, 0.998, 0.000, 0.000, 0.000, 1.236, -0.472, -115.532, -32.129, -16.113, -44.531, 35.9, 3.71, -75, 13011,
 11:30:27.215,WT5500002564_UDP, 2024-7-22 10:51:27.428, 0.003, 0.014, 0.988, 0.000, 0.000, 0.000, 0.807, -0.225, -30.328, -14.551, 24.316, -24.121, 37.6, 3.66, -71, 13011,
 11:30:27.303,WT5500002557_UDP, 2024-7-22 10:55:24.197, 0.008, 0.021, 0.998, 0.000, 0.000, 0.000, 1.236, -0.472, -115.532, -32.031, -16.016, -44.531, 35.9, 3.71, -75, 13011,
 11:30:27.317,WT5500002564_UDP, 2024-7-22 10:51:27.528, 0.004, 0.014, 0.988, 0.000, 0.000, 0.000, 0.807, -0.225, -30.328, -14.551, 24.414, -24.023, 37.6, 3.66, -71, 13011,
 11:30:27.399,WT5500002557_UDP, 2024-7-22 10:55:24.297, 0.008, 0.021, 0.997, 0.000, 0.000, 0.000, 1.230, -0.472, -115.527, -32.129, -16.113, -44.629, 35.9, 3.71, -75, 13011,
 11:30:27.416,WT5500002564_UDP, 2024-7-22 10:51:27.628, 0.003, 0.015, 0.988, 0.000, 0.000, 0.000, 0.807, -0.225, -30.333, -14.551, 24.316, -24.219, 37.6, 3.66, -71, 13011,
 11:30:27.502,WT5500002557_UDP, 2024-7-22 10:55:24.397, 0.008, 0.021, 0.996, 0.000, 0.000, 0.000, 1.230, -0.467, -115.527, -32.031, -16.113, -44.531, 35.9, 3.71, -75, 13011,
 11:30:27.515,WT5500002564_UDP, 2024-7-22 10:51:27.728, 0.004, 0.014, 0.989, 0.000, 0.000, 0.000, 0.807, -0.225, -30.339, -14.551, 24.316, -24.121, 37.6, 3.66, -71, 13011,
 11:30:27.603,WT5500002557_UDP, 2024-7-22 10:55:24.497, 0.008, 0.021, 0.996, 0.000, 0.000, 0.000, 1.236, -0.467, -115.527, -32.031, -16.211, -44.727, 35.9, 3.71, -75, 13011,
 11:30:27.616,WT5500002564_UDP, 2024-7-22 10:51:27.828, 0.003, 0.014, 0.989, 0.000, 0.000, 0.000, 0.807, -0.225, -30.339, -14.551, 24.316, -24.121, 37.6, 3.66, -71, 13011,
 11:30:27.699,WT5500002557_UDP, 2024-7-22 10:55:24.597, 0.008, 0.022, 0.996, 0.000, 0.000, 0.000, 1.236, -0.467, -115.538, -32.031, -16.309, -44.824, 35.9, 3.71, -75, 13011,
 11:30:27.715,WT5500002564_UDP, 2024-7-22 10:51:27.928, 0.004, 0.014, 0.989, 0.000, 0.000, 0.000, 0.807, -0.225, -30.339, -14.551, 24.414, -24.219, 37.6, 3.66, -69, 13011,
 11:30:27.799,WT5500002557_UDP, 2024-7-22 10:55:24.697, 0.008, 0.022, 0.995, 0.000, 0.000, 0.000, 1.236, -0.467, -115.543, -32.129, -16.211, -44.824, 35.9, 3.71, -75, 13011,
 11:30:27.815,WT5500002564_UDP, 2024-7-22 10:51:28.28, 0.004, 0.014, 0.988, 0.000, 0.000, 0.000, 0.807, -0.225, -30.344, -14.551, 24.414, -24.023, 37.5, 3.66, -69, 13011,
 11:30:27.899,WT5500002557_UDP, 2024-7-22 10:55:24.797, 0.008, 0.021, 0.996, 0.000, 0.000, 0.000, 1.230, -0.467, -115.560, -32.031, -16.309, -44.531, 35.9, 3.71, -75, 13011,
 11:30:27.915,WT5500002564_UDP, 2024-7-22 10:51:28.128, 0.004, 0.014, 0.988, 0.000, 0.000, 0.000, 0.807, -0.225, -30.350, -14.551, 24.219, -24.121, 37.6, 3.66, -69, 13011,
 11:30:28.002,WT5500002557_UDP, 2024-7-22 10:55:24.897, 0.008, 0.022, 0.996, 0.000, 0.000, 0.000, 1.236, -0.467, -115.576, -32.031, -16.309, -44.531, 35.9, 3.71, -75, 13011,
 11:30:28.014,WT5500002564_UDP, 2024-7-22 10:51:28.228, 0.003, 0.014, 0.989, 0.000, 0.000, 0.000, 0.807, -0.225, -30.355, -14.551, 24.316, -24.023, 37.5, 3.66, -69, 13011,
 11:30:28.100,WT5500002557_UDP, 2024-7-22 10:55:24.997, 0.008, 0.021, 0.996, 0.000, 0.000, 0.000, 1.236, -0.472, -115.582, -32.031, -16.113, -44.531, 35.9, 3.71, -75, 13011,
 11:30:28.117,WT5500002564_UDP, 2024-7-22 10:51:28.328, 0.004, 0.014, 0.989, 0.000, 0.000, 0.000, 0.807, -0.225, -30.350, -14.453, 24.316, -24.121, 37.6, 3.66, -69, 13011,
 11:30:28.199,WT5500002557_UDP, 2024-7-22 10:55:25.97, 0.008, 0.021, 0.997, 0.000, 0.000, 0.000, 1.236, -0.472, -115.576, -32.031, -16.211, -44.531, 35.9, 3.71, -75, 13011,
 11:30:28.214,WT5500002564_UDP, 2024-7-22 10:51:28.428, 0.004, 0.014, 0.988, 0.000, 0.000, 0.000, 0.807, -0.225, -30.344, -14.453, 24.316, -24.219, 37.6, 3.66, -69, 13011,
 11:30:28.298,WT5500002557_UDP, 2024-7-22 10:55:25.197, 0.009, 0.021, 0.998, 0.000, 0.000, 0.000, 1.236, -0.472, -115.593, -32.129, -16.406, -44.434, 35.9, 3.71, -75, 13011,
 11:30:28.318,WT5500002564_UDP, 2024-7-22 10:51:28.528, 0.004, 0.014, 0.989, 0.000, 0.000, 0.000, 0.807, -0.225, -30.344, -14.453, 24.414, -24.121, 37.6, 3.66, -69, 13011,
 11:30:28.404,WT5500002557_UDP, 2024-7-22 10:55:25.297, 0.009, 0.022, 0.998, 0.000, 0.000, 0.000, 1.230, -0.472, -115.604, -32.129, -16.211, -44.531, 35.9, 3.71, -75, 13011,
